   TIME[S]      V-OUT[V]     I-OUT[A]     V-SET[V]     I-SET[A]
 0003.151227  0009.900000  0000.000000  0010.000000  0000.400000
 0003.162718  0010.000000  0000.000000  0010.000000  0000.400000
 0003.174074  0009.900000  0000.000000  0010.000000  0000.400000
 0003.185465  0009.900000  0000.000000  0010.000000  0000.400000
 0003.196693  0009.900000  0000.000000  0010.000000  0000.400000
 0003.207952  0009.900000  0000.000000  0010.000000  0000.400000
 0003.219317  0009.900000  0000.000000  0010.000000  0000.400000
 0003.230559  0009.900000  0000.000000  0010.000000  0000.400000
 0003.241733  0010.000000  0000.000000  0010.000000  0000.400000
 0003.252971  0010.000000  0000.000000  0010.000000  0000.400000
 0003.264181  0010.000000  0000.012000  0010.000000  0000.400000
 0003.275299  0010.000000  0000.000000  0010.000000  0000.400000
 0003.286502  0010.000000  0000.000000  0010.000000  0000.400000
 0003.297733  0010.000000  0000.000000  0010.000000  0000.400000
 0003.309231  0010.000000  0000.000000  0010.000000  0000.400000
 0003.320736  0009.900000  0000.012000  0010.000000  0000.400000
 0003.332305  0010.000000  0000.000000  0010.000000  0000.400000
 0003.343977  0010.000000  0000.009000  0010.000000  0000.400000
 0003.355483  0010.000000  0000.000000  0010.000000  0000.400000
 0003.367252  0010.000000  0000.000000  0010.000000  0000.400000
 0003.378803  0010.000000  0000.000000  0010.000000  0000.400000
 0003.390397  0009.900000  0000.000000  0010.000000  0000.400000
 0003.402173  0010.000000  0000.000000  0010.000000  0000.400000
 0003.414104  0010.000000  0000.000000  0010.000000  0000.400000
 0003.425772  0010.000000  0000.000000  0010.000000  0000.400000
 0003.437374  0010.000000  0000.000000  0010.000000  0000.400000
 0003.449038  0009.900000  0000.000000  0010.000000  0000.400000
 0003.460785  0009.900000  0000.000000  0010.000000  0000.400000
 0003.472596  0009.900000  0000.000000  0010.000000  0000.400000
 0003.484413  0009.900000  0000.000000  0010.000000  0000.400000
 0003.496095  0009.900000  0000.006000  0010.000000  0000.400000
 0003.507892  0010.000000  0000.000000  0010.000000  0000.400000
 0003.519693  0010.000000  0000.000000  0010.000000  0000.400000
 0003.531313  0010.000000  0000.009000  0010.000000  0000.400000
 0003.542989  0009.900000  0000.010000  0010.000000  0000.400000
 0003.554232  0009.900000  0000.007000  0010.000000  0000.400000
 0003.565828  0009.900000  0000.000000  0010.000000  0000.400000
 0003.577506  0009.900000  0000.000000  0010.000000  0000.400000
 0003.588833  0009.900000  0000.000000  0010.000000  0000.400000
 0003.600083  0009.900000  0000.007000  0010.000000  0000.400000
 0003.611542  0010.000000  0000.000000  0010.000000  0000.400000
 0003.622833  0010.000000  0000.000000  0010.000000  0000.400000
 0003.633977  0009.900000  0000.000000  0010.000000  0000.400000
 0003.645178  0009.900000  0000.000000  0010.000000  0000.400000
 0003.656483  0010.000000  0000.000000  0010.000000  0000.400000
 0003.667830  0009.900000  0000.000000  0010.000000  0000.400000
 0003.679079  0009.900000  0000.000000  0010.000000  0000.400000
 0003.690397  0009.900000  0000.000000  0010.000000  0000.400000
 0003.701799  0009.900000  0000.000000  0010.000000  0000.400000
 0003.713206  0009.900000  0000.000000  0010.000000  0000.400000
 0003.724598  0009.900000  0000.000000  0010.000000  0000.400000
 0003.736169  0009.900000  0000.000000  0010.000000  0000.400000
 0003.747827  0009.900000  0000.008000  0010.000000  0000.400000
 0003.759668  0009.900000  0000.000000  0010.000000  0000.400000
 0003.771327  0009.900000  0000.000000  0010.000000  0000.400000
 0003.783055  0009.900000  0000.000000  0010.000000  0000.400000
 0003.794691  0009.900000  0000.000000  0010.000000  0000.400000
 0003.806379  0010.000000  0000.000000  0010.000000  0000.400000
 0003.817777  0009.900000  0000.000000  0010.000000  0000.400000
 0003.830235  0009.900000  0000.012000  0010.000000  0000.400000
 0003.841614  0010.000000  0000.006000  0010.000000  0000.400000
 0003.853362  0010.000000  0000.000000  0010.000000  0000.400000
 0003.864973  0009.900000  0000.000000  0010.000000  0000.400000
 0003.876674  0009.900000  0000.011000  0010.000000  0000.400000
 0003.888440  0009.900000  0000.000000  0010.000000  0000.400000
 0003.900025  0009.900000  0000.000000  0010.000000  0000.400000
 0003.911719  0009.900000  0000.000000  0010.000000  0000.400000
 0003.923331  0009.900000  0000.000000  0010.000000  0000.400000
 0003.934798  0009.900000  0000.000000  0010.000000  0000.400000
 0003.946253  0010.000000  0000.000000  0010.000000  0000.400000
 0003.957638  0010.000000  0000.006000  0010.000000  0000.400000
 0003.969014  0009.900000  0000.008000  0010.000000  0000.400000
 0003.980243  0010.000000  0000.000000  0010.000000  0000.400000
 0003.991589  0010.000000  0000.008000  0010.000000  0000.400000
 0004.003388  0009.900000  0000.000000  0010.000000  0000.400000
 0004.014965  0009.900000  0000.000000  0010.000000  0000.400000
 0004.026649  0009.900000  0000.000000  0010.000000  0000.400000
 0004.038264  0010.000000  0000.000000  0010.000000  0000.400000
 0004.050016  0010.000000  0000.000000  0010.000000  0000.400000
 0004.061723  0010.000000  0000.007000  0010.000000  0000.400000
 0004.073341  0009.900000  0000.000000  0010.000000  0000.400000
 0004.084984  0009.900000  0000.008000  0010.000000  0000.400000
 0004.096566  0009.900000  0000.000000  0010.000000  0000.400000
 0004.108143  0009.900000  0000.000000  0010.000000  0000.400000
 0004.119487  0009.900000  0000.000000  0010.000000  0000.400000
 0004.130919  0009.900000  0000.006000  0010.000000  0000.400000
 0004.142284  0009.900000  0000.000000  0010.000000  0000.400000
 0004.153549  0009.900000  0000.000000  0010.000000  0000.400000
 0004.167834  0009.900000  0000.000000  0010.000000  0000.400000
 0004.179356  0009.900000  0000.000000  0010.000000  0000.400000
 0004.190858  0010.000000  0000.000000  0010.000000  0000.400000
 0004.202166  0009.900000  0000.000000  0010.000000  0000.400000
 0004.213646  0009.900000  0000.000000  0010.000000  0000.400000
 0004.224915  0009.900000  0000.000000  0010.000000  0000.400000
 0004.236233  0009.900000  0000.000000  0010.000000  0000.400000
 0004.247899  0009.900000  0000.000000  0010.000000  0000.400000
 0004.259498  0009.900000  0000.000000  0010.000000  0000.400000
 0004.270823  0009.900000  0000.000000  0010.000000  0000.400000
 0004.281959  0009.900000  0000.000000  0010.000000  0000.400000
 0004.293355  0009.900000  0000.000000  0010.000000  0000.400000
 0004.304668  0009.900000  0000.000000  0010.000000  0000.400000
 0004.315962  0009.900000  0000.000000  0010.000000  0000.400000
 0004.327981  0009.900000  0000.007000  0010.000000  0000.400000
 0004.339895  0009.900000  0000.007000  0010.000000  0000.400000
 0004.351676  0009.900000  0000.000000  0010.000000  0000.400000
 0004.363482  0009.900000  0000.000000  0010.000000  0000.400000
 0004.374997  0010.000000  0000.000000  0010.000000  0000.400000
 0004.386894  0010.000000  0000.000000  0010.000000  0000.400000
 0004.398602  0009.900000  0000.000000  0010.000000  0000.400000
 0004.410310  0009.900000  0000.000000  0010.000000  0000.400000
 0004.422164  0009.900000  0000.000000  0010.000000  0000.400000
 0004.433876  0009.900000  0000.000000  0010.000000  0000.400000
 0004.445694  0009.900000  0000.000000  0010.000000  0000.400000
 0004.457318  0009.900000  0000.000000  0010.000000  0000.400000
 0004.468841  0010.000000  0000.000000  0010.000000  0000.400000
 0004.480138  0010.000000  0000.000000  0010.000000  0000.400000
 0004.491827  0010.000000  0000.000000  0010.000000  0000.400000
 0004.503428  0010.000000  0000.000000  0010.000000  0000.400000
 0004.514896  0009.900000  0000.000000  0010.000000  0000.400000
 0004.526271  0010.000000  0000.000000  0010.000000  0000.400000
 0004.538008  0009.900000  0000.010000  0010.000000  0000.400000
 0004.549674  0009.900000  0000.000000  0010.000000  0000.400000
 0004.561449  0009.900000  0000.000000  0010.000000  0000.400000
 0004.573192  0009.900000  0000.000000  0010.000000  0000.400000
 0004.584896  0010.000000  0000.000000  0010.000000  0000.400000
 0004.596628  0010.000000  0000.000000  0010.000000  0000.400000
 0004.608166  0010.000000  0000.000000  0010.000000  0000.400000
 0004.619559  0009.900000  0000.000000  0010.000000  0000.400000
 0004.630985  0009.900000  0000.000000  0010.000000  0000.400000
 0004.642182  0009.900000  0000.000000  0010.000000  0000.400000
 0004.653498  0009.900000  0000.000000  0010.000000  0000.400000
 0004.664859  0009.900000  0000.007000  0010.000000  0000.400000
 0004.676066  0009.900000  0000.000000  0010.000000  0000.400000
 0004.687477  0009.900000  0000.000000  0010.000000  0000.400000
 0004.698844  0009.900000  0000.000000  0010.000000  0000.400000
 0004.710245  0009.900000  0000.006000  0010.000000  0000.400000
 0004.721657  0009.900000  0000.000000  0010.000000  0000.400000
 0004.733253  0009.900000  0000.000000  0010.000000  0000.400000
 0004.744841  0009.900000  0000.000000  0010.000000  0000.400000
 0004.756572  0010.000000  0000.000000  0010.000000  0000.400000
 0004.768260  0010.000000  0000.009000  0010.000000  0000.400000
 0004.779650  0010.000000  0000.000000  0010.000000  0000.400000
 0004.790954  0010.000000  0000.000000  0010.000000  0000.400000
 0004.802449  0009.900000  0000.000000  0010.000000  0000.400000
 0004.813837  0009.900000  0000.000000  0010.000000  0000.400000
 0004.825070  0009.900000  0000.000000  0010.000000  0000.400000
