Charge equilibration on step 0
  iteration: 72, enegtot 10.804, enegmax 0.00961788, fq deviation: 0.00101675
Charges converged in 73 iterations to 0.0009654385 tolerance
Charge equilibration on step 20
  iteration: 0, enegtot 10.8041, enegmax 0.336146, fq deviation: 0.00820259
  iteration: 1, enegtot 10.8041, enegmax 0.311387, fq deviation: 0.00703634
  iteration: 2, enegtot 10.804, enegmax 0.266493, fq deviation: 0.00559194
  iteration: 3, enegtot 10.804, enegmax 0.207585, fq deviation: 0.0046902
  iteration: 4, enegtot 10.804, enegmax 0.141726, fq deviation: 0.00433392
  iteration: 5, enegtot 10.804, enegmax 0.0761458, fq deviation: 0.00437815
  iteration: 6, enegtot 10.804, enegmax 0.0831646, fq deviation: 0.00460347
  iteration: 7, enegtot 10.8039, enegmax 0.103157, fq deviation: 0.00504409
  iteration: 8, enegtot 10.8039, enegmax 0.115473, fq deviation: 0.00542743
  iteration: 9, enegtot 10.8039, enegmax 0.137434, fq deviation: 0.00560287
  iteration: 10, enegtot 10.8039, enegmax 0.160638, fq deviation: 0.00560801
  iteration: 11, enegtot 10.8039, enegmax 0.166676, fq deviation: 0.00555915
  iteration: 12, enegtot 10.8039, enegmax 0.156591, fq deviation: 0.00539432
  iteration: 13, enegtot 10.8039, enegmax 0.133616, fq deviation: 0.00516896
  iteration: 14, enegtot 10.8039, enegmax 0.102428, fq deviation: 0.00505184
  iteration: 15, enegtot 10.8039, enegmax 0.0816596, fq deviation: 0.00493392
  iteration: 16, enegtot 10.8039, enegmax 0.0770058, fq deviation: 0.00477708
  iteration: 17, enegtot 10.8039, enegmax 0.070922, fq deviation: 0.00460319
  iteration: 18, enegtot 10.8039, enegmax 0.0628117, fq deviation: 0.00441643
  iteration: 19, enegtot 10.8039, enegmax 0.0525276, fq deviation: 0.00421844
  iteration: 20, enegtot 10.8039, enegmax 0.0492687, fq deviation: 0.00408209
  iteration: 21, enegtot 10.8039, enegmax 0.0536548, fq deviation: 0.00399304
  iteration: 22, enegtot 10.8039, enegmax 0.057067, fq deviation: 0.00389898
  iteration: 23, enegtot 10.8039, enegmax 0.0570176, fq deviation: 0.00379976
  iteration: 24, enegtot 10.8039, enegmax 0.0538509, fq deviation: 0.00366255
  iteration: 25, enegtot 10.8039, enegmax 0.0479702, fq deviation: 0.00349863
  iteration: 26, enegtot 10.804, enegmax 0.0422447, fq deviation: 0.00338819
  iteration: 27, enegtot 10.804, enegmax 0.0403064, fq deviation: 0.00329376
  iteration: 28, enegtot 10.804, enegmax 0.0441858, fq deviation: 0.00315134
  iteration: 29, enegtot 10.804, enegmax 0.0454032, fq deviation: 0.00293643
  iteration: 30, enegtot 10.804, enegmax 0.0442285, fq deviation: 0.00273092
  iteration: 31, enegtot 10.804, enegmax 0.041102, fq deviation: 0.00256115
  iteration: 32, enegtot 10.804, enegmax 0.0365383, fq deviation: 0.00244669
  iteration: 33, enegtot 10.804, enegmax 0.0310295, fq deviation: 0.00236006
  iteration: 34, enegtot 10.804, enegmax 0.0249807, fq deviation: 0.00226215
  iteration: 35, enegtot 10.804, enegmax 0.0229226, fq deviation: 0.00216042
  iteration: 36, enegtot 10.8039, enegmax 0.0229047, fq deviation: 0.00205729
  iteration: 37, enegtot 10.8039, enegmax 0.0214327, fq deviation: 0.00198097
  iteration: 38, enegtot 10.8039, enegmax 0.02024, fq deviation: 0.0019085
  iteration: 39, enegtot 10.8039, enegmax 0.0187815, fq deviation: 0.00182371
  iteration: 40, enegtot 10.8039, enegmax 0.0166145, fq deviation: 0.00174193
  iteration: 41, enegtot 10.8039, enegmax 0.0143986, fq deviation: 0.00166421
  iteration: 42, enegtot 10.8039, enegmax 0.0177988, fq deviation: 0.00159046
  iteration: 43, enegtot 10.8039, enegmax 0.0202417, fq deviation: 0.00150412
  iteration: 44, enegtot 10.8039, enegmax 0.0216218, fq deviation: 0.00140276
  iteration: 45, enegtot 10.8039, enegmax 0.0218685, fq deviation: 0.00130321
  iteration: 46, enegtot 10.8039, enegmax 0.0209752, fq deviation: 0.00120647
  iteration: 47, enegtot 10.8039, enegmax 0.0190255, fq deviation: 0.00115113
  iteration: 48, enegtot 10.8039, enegmax 0.0162049, fq deviation: 0.00114427
  iteration: 49, enegtot 10.8039, enegmax 0.0127851, fq deviation: 0.00113645
  iteration: 50, enegtot 10.8039, enegmax 0.00934619, fq deviation: 0.0011055
  iteration: 51, enegtot 10.8039, enegmax 0.00909998, fq deviation: 0.0010369
Charges converged in 52 iterations to 0.0009458099 tolerance
Charge equilibration on step 30
  iteration: 0, enegtot 10.804, enegmax 0.233966, fq deviation: 0.00602397
  iteration: 1, enegtot 10.804, enegmax 0.217988, fq deviation: 0.00515858
  iteration: 2, enegtot 10.8039, enegmax 0.188587, fq deviation: 0.00404292
  iteration: 3, enegtot 10.8039, enegmax 0.149154, fq deviation: 0.00327718
  iteration: 4, enegtot 10.8039, enegmax 0.103908, fq deviation: 0.00310836
  iteration: 5, enegtot 10.8039, enegmax 0.0576112, fq deviation: 0.00323717
  iteration: 6, enegtot 10.8039, enegmax 0.0645558, fq deviation: 0.00336653
  iteration: 7, enegtot 10.8039, enegmax 0.0750409, fq deviation: 0.0036926
  iteration: 8, enegtot 10.8039, enegmax 0.0758072, fq deviation: 0.00397807
  iteration: 9, enegtot 10.8039, enegmax 0.0925075, fq deviation: 0.00398306
  iteration: 10, enegtot 10.8039, enegmax 0.105119, fq deviation: 0.00387616
  iteration: 11, enegtot 10.8039, enegmax 0.108687, fq deviation: 0.00382314
  iteration: 12, enegtot 10.8039, enegmax 0.103277, fq deviation: 0.00377092
  iteration: 13, enegtot 10.8039, enegmax 0.0899674, fq deviation: 0.00370761
  iteration: 14, enegtot 10.8039, enegmax 0.0742812, fq deviation: 0.00363632
  iteration: 15, enegtot 10.8039, enegmax 0.0612398, fq deviation: 0.00357034
  iteration: 16, enegtot 10.8039, enegmax 0.0580587, fq deviation: 0.00347523
  iteration: 17, enegtot 10.8039, enegmax 0.0534599, fq deviation: 0.00334704
  iteration: 18, enegtot 10.8039, enegmax 0.0469262, fq deviation: 0.00316936
  iteration: 19, enegtot 10.8039, enegmax 0.038422, fq deviation: 0.00298922
  iteration: 20, enegtot 10.8039, enegmax 0.0327376, fq deviation: 0.00282315
  iteration: 21, enegtot 10.8039, enegmax 0.038507, fq deviation: 0.00272005
  iteration: 22, enegtot 10.8039, enegmax 0.0414381, fq deviation: 0.00269118
  iteration: 23, enegtot 10.8039, enegmax 0.0418519, fq deviation: 0.00269444
  iteration: 24, enegtot 10.8039, enegmax 0.0399488, fq deviation: 0.00266673
  iteration: 25, enegtot 10.8039, enegmax 0.037332, fq deviation: 0.00261613
  iteration: 26, enegtot 10.8039, enegmax 0.0344461, fq deviation: 0.00254009
  iteration: 27, enegtot 10.8039, enegmax 0.0325164, fq deviation: 0.00242842
  iteration: 28, enegtot 10.8039, enegmax 0.0349123, fq deviation: 0.00224712
  iteration: 29, enegtot 10.8039, enegmax 0.0352529, fq deviation: 0.002045
  iteration: 30, enegtot 10.8039, enegmax 0.0337091, fq deviation: 0.0018654
  iteration: 31, enegtot 10.8039, enegmax 0.0306087, fq deviation: 0.0017556
  iteration: 32, enegtot 10.8039, enegmax 0.0263808, fq deviation: 0.00171931
  iteration: 33, enegtot 10.8039, enegmax 0.0214746, fq deviation: 0.00169698
  iteration: 34, enegtot 10.8039, enegmax 0.0174468, fq deviation: 0.00165291
  iteration: 35, enegtot 10.8039, enegmax 0.018808, fq deviation: 0.00158859
  iteration: 36, enegtot 10.8039, enegmax 0.0188521, fq deviation: 0.00152461
  iteration: 37, enegtot 10.8039, enegmax 0.018137, fq deviation: 0.00145636
  iteration: 38, enegtot 10.8039, enegmax 0.0171746, fq deviation: 0.00136987
  iteration: 39, enegtot 10.8039, enegmax 0.0152617, fq deviation: 0.00128228
  iteration: 40, enegtot 10.8039, enegmax 0.0126102, fq deviation: 0.00120946
  iteration: 41, enegtot 10.8039, enegmax 0.0129875, fq deviation: 0.00115801
  iteration: 42, enegtot 10.8039, enegmax 0.015066, fq deviation: 0.00111446
  iteration: 43, enegtot 10.8039, enegmax 0.0163411, fq deviation: 0.00105922
  iteration: 44, enegtot 10.8039, enegmax 0.0167478, fq deviation: 0.00100225
Charges converged in 45 iterations to 0.0009396857 tolerance
Charge equilibration on step 40
  iteration: 0, enegtot 10.8039, enegmax 0.155225, fq deviation: 0.00449786
  iteration: 1, enegtot 10.8039, enegmax 0.140248, fq deviation: 0.00381432
  iteration: 2, enegtot 10.8039, enegmax 0.11961, fq deviation: 0.00296505
  iteration: 3, enegtot 10.8038, enegmax 0.0940039, fq deviation: 0.00241252
  iteration: 4, enegtot 10.8038, enegmax 0.0643316, fq deviation: 0.00232919
  iteration: 5, enegtot 10.8038, enegmax 0.0368949, fq deviation: 0.00243032
  iteration: 6, enegtot 10.8038, enegmax 0.0485266, fq deviation: 0.00257466
  iteration: 7, enegtot 10.8038, enegmax 0.0558913, fq deviation: 0.00280647
  iteration: 8, enegtot 10.8038, enegmax 0.0559504, fq deviation: 0.00298631
  iteration: 9, enegtot 10.8038, enegmax 0.0641205, fq deviation: 0.002957
  iteration: 10, enegtot 10.8039, enegmax 0.071641, fq deviation: 0.00281905
  iteration: 11, enegtot 10.8039, enegmax 0.0734635, fq deviation: 0.00276509
  iteration: 12, enegtot 10.8039, enegmax 0.0694596, fq deviation: 0.00277438
  iteration: 13, enegtot 10.8039, enegmax 0.0621195, fq deviation: 0.00279936
  iteration: 14, enegtot 10.8039, enegmax 0.0523003, fq deviation: 0.00276159
  iteration: 15, enegtot 10.8039, enegmax 0.0397225, fq deviation: 0.00267367
  iteration: 16, enegtot 10.8039, enegmax 0.0350137, fq deviation: 0.00251624
  iteration: 17, enegtot 10.8039, enegmax 0.0325891, fq deviation: 0.00232341
  iteration: 18, enegtot 10.8039, enegmax 0.0287687, fq deviation: 0.00214871
  iteration: 19, enegtot 10.8039, enegmax 0.023631, fq deviation: 0.00206826
  iteration: 20, enegtot 10.8039, enegmax 0.0253729, fq deviation: 0.00208074
  iteration: 21, enegtot 10.8039, enegmax 0.0288123, fq deviation: 0.00214859
  iteration: 22, enegtot 10.8039, enegmax 0.0302403, fq deviation: 0.00217596
  iteration: 23, enegtot 10.8039, enegmax 0.0299004, fq deviation: 0.00211511
